,amount_paid_usd,tags,country,title,artist,at,type,image
35,108.0,"['Jazz', 'Ambient', 'Gry', 'Classic', 'Electronic', 'House', 'S&T', 'Scissor & Thread']",United States,Of the Field,Francis Harris,"01/04/2024, 15:31:44",track,https://f4.bcbits.com/img/a4166685660_7.jpg
36,108.0,['Other'],United States,Conversation (Francis Harris Reform),"Nadia Khan, CCL, Francis Harris","01/04/2024, 15:31:44",track,https://f4.bcbits.com/img/a3260166235_7.jpg
37,700.0,"['Electronics', 'Noise', 'Electronic', 'Industrial']",United Kingdom,Cruise,Whitehouse,"01/04/2024, 15:31:45",album,https://f4.bcbits.com/img/a1058499021_7.jpg
38,524.0,"['New Age', 'Progressive Rock', 'Rock']",Canada,August,Ken Baird,"01/04/2024, 15:31:46",album,https://f4.bcbits.com/img/a3061704210_7.jpg
39,100.0,"['Indie Pop', 'Pop']",Canada,Killshot,Magdalena Bay,"01/04/2024, 15:31:47",track,https://f4.bcbits.com/img/a0476625922_7.jpg
40,500.0,"['Indie', 'Dream Pop', 'Electropop', 'Pop']",Canada,mini mix vol. 1,Magdalena Bay,"01/04/2024, 15:31:47",album,https://f4.bcbits.com/img/a0366554195_7.jpg
41,700.0,['Pop'],Canada,mini mix vol. 3,Magdalena Bay,"01/04/2024, 15:31:47",album,https://f4.bcbits.com/img/a2070335997_7.jpg
42,600.0,['Pop'],Canada,"mini mix, vol. 2",Magdalena Bay,"01/04/2024, 15:31:47",album,https://f4.bcbits.com/img/a2691620070_7.jpg
43,100.0,"['Indie Pop', 'Summer', 'Pop', 'Magdalena Bay']",Canada,Venice,Magdalena Bay,"01/04/2024, 15:31:47",track,https://f4.bcbits.com/img/a2309474334_7.jpg
44,229.0,"['Deep', 'Organic House', 'Ibiza', 'Chill Out', 'Electronic']",United States,Misty,Ivan Garci,"01/04/2024, 15:31:49",album,https://f4.bcbits.com/img/a2273996053_7.jpg
45,109.0,"['Deep', 'Electronic Music', 'Organic House', 'Ibiza', 'Chill Out', 'Electronic']",United States,Pier,Ivan Garci,"01/04/2024, 15:31:49",track,https://f4.bcbits.com/img/a0414688585_7.jpg
46,100.0,['Funk'],Italy,Get To The Point,Tony Cook,"01/04/2024, 15:31:50",track,https://f4.bcbits.com/img/a2811185168_7.jpg
47,634.0,"['Filter House', 'Techno', 'Edm', 'Dance', 'Electronica', 'Electronic', 'French House', 'Pop', 'Rock', 'Indie Electronica', 'Indie Dance']",United States,Destiny,DJ Sabrina The Teenage DJ,"01/04/2024, 15:31:56",album,https://f4.bcbits.com/img/a3206887921_7.jpg
48,671.0,"['Jazz', 'Progressive', 'Djent', 'Progressive Metal', 'Fusion', 'Rock']",United States,Handmade Cities,Plini,"01/04/2024, 15:31:56",album,https://f4.bcbits.com/img/a2040672325_7.jpg
49,806.0,"['Jazz', 'Progressive', 'Guitar', 'Djent', 'Progressive Metal', 'Instrumental Rock', 'Fusion', 'Progressive Rock', 'Rock', 'Instrumental']",United States,Impulse Voices,Plini,"01/04/2024, 15:31:56",album,https://f4.bcbits.com/img/a3947415487_7.jpg
50,602.0,['Electronic'],Japan,Groove La Chord Remix EP,Christian Prommer,"01/04/2024, 15:32:01",album,https://f4.bcbits.com/img/a0751318639_7.jpg
51,328.0,['Electronic'],Japan,Oxyg​è​ne (Part IV) (Alex Barck Remix) / Sleepy Hollow (Alex Barck Remix),Christian Prommer,"01/04/2024, 15:32:01",album,https://f4.bcbits.com/img/a4031801760_7.jpg
52,999.0,"['Alternative', 'Mod', 'Post Punk']",United States,Spare Ribs,Sleaford Mods,"01/04/2024, 15:32:05",album,https://f4.bcbits.com/img/a2646253030_7.jpg
53,219.0,"['Ambient', 'Techno', 'Electronica', 'Electronic', 'House', 'Detroittechno']",Japan,Grounded (More Cowbell Mix),Aril Brikha,"01/04/2024, 15:32:06",track,https://f4.bcbits.com/img/a3825407008_7.jpg
54,219.0,"['Ambient', 'Techno', 'Electronic', 'House', 'Detroittechno']",Japan,Contact,Aril Brikha,"01/04/2024, 15:32:06",track,https://f4.bcbits.com/img/a0946582572_7.jpg
55,657.0,"['Ambient', 'Techno', 'Electronic', 'House', 'Detroittechno']",Japan,Groove La Chord,Aril Brikha,"01/04/2024, 15:32:06",track,https://f4.bcbits.com/img/a4101152754_7.jpg
56,219.0,"['Ambient', 'Techno', 'Electronic', 'House', 'Detroittechno']",Japan,Sensual Disguise,Aril Brikha,"01/04/2024, 15:32:06",track,https://f4.bcbits.com/img/a0181644689_7.jpg
57,700.0,['Electronic'],United States,Unfold Yourself,Ian Ball,"01/04/2024, 15:32:08",album,https://f4.bcbits.com/img/a0189115405_7.jpg
58,699.0,"['Dance', 'Ska', 'Electronic', 'Rap', 'Pop', 'Alternative', 'Experimental']",United States,1000 gecs,"100 gecs, Dylan Brady & Laura Les","01/04/2024, 15:32:09",album,https://f4.bcbits.com/img/a2604863078_7.jpg
59,164.0,['Electronic'],Japan,Where You Gonna Go feat. Kim Sanders,Christian Prommer,"01/04/2024, 15:32:11",track,https://f4.bcbits.com/img/a2504199051_7.jpg
60,164.0,['Electronic'],Japan,Tin Man feat. Adriano Prestel (Rainer Trueby & Corrado Bucci Truccy Remix),Christian Prommer,"01/04/2024, 15:32:11",track,https://f4.bcbits.com/img/a3731624192_7.jpg
61,200.0,"['Afrobeat', 'Surf', 'Funk', 'Rock', 'Latin']",United States,Amanecer Tropical,Los Baby Jaguars,"01/04/2024, 15:32:13",track,https://f4.bcbits.com/img/a2360737321_7.jpg
62,400.0,"['Soul', 'Retro', 'Funk', 'R&B', 'Groovy']",United States,Bring Your Love / Angel Eyes,The Charities,"01/04/2024, 15:32:13",album,https://f4.bcbits.com/img/a0260234079_7.jpg
63,200.0,"['Afrobeat', 'Surf', 'Funk', 'Rock', 'Latin']",United States,Las Pi​ñ​as,Los Baby Jaguars,"01/04/2024, 15:32:13",track,https://f4.bcbits.com/img/a0192695234_7.jpg
64,1100.0,"['Rhythm And Blues', 'Rockabilly', 'Surf', 'Rock', 'Rock & Roll']",United States,Mad About You,Televisionaries,"01/04/2024, 15:32:13",album,https://f4.bcbits.com/img/a1606765763_7.jpg
65,999.0,['Freehold Township'],United States,My Kind of Fun,The Hi-Risers,"01/04/2024, 15:32:13",album,https://f4.bcbits.com/img/a3363185489_7.jpg
66,1100.0,"['Freak Out', 'Rock & Roll', 'Rockabilly', 'Rock']",United States,Songs From the Sludge,Bloodshot Bill,"01/04/2024, 15:32:13",album,https://f4.bcbits.com/img/a2574288527_7.jpg
67,1400.0,"['Surf', 'Rock', 'Tiki']",United States,Surf Shack Shindig,Shorty's Swingin Coconuts,"01/04/2024, 15:32:13",album,https://f4.bcbits.com/img/a0459469377_7.jpg
68,600.0,"['Rhythm And Blues', 'Rockabilly', 'Surf', 'Rock', 'Rock & Roll']",United States,Televisionaires & Les Greene - EP,Televisionaries & Les Greene,"01/04/2024, 15:32:13",album,https://f4.bcbits.com/img/a1809321265_7.jpg
69,1100.0,"['Indie', 'Doo Wop', 'Surf', 'Rock', 'Beat', 'Surf Pop']",United States,The McCharmlys,The McCharmlys,"01/04/2024, 15:32:13",album,https://f4.bcbits.com/img/a3372141117_7.jpg
70,1000.0,"['Jazz', 'Swing', 'Pre War Blues', ""Rock N' Roll"", '1950S']",United States,The Tailspins - EP,The Tailspins,"01/04/2024, 15:32:13",album,https://f4.bcbits.com/img/a2047656985_7.jpg
71,400.0,"['Jazz', 'Dance Music', 'Groove', 'Funk', 'Staten Island', 'Fusion Jazz']",United States,This Thing of Ours / When It Hits,The Jazztronauts,"01/04/2024, 15:32:13",album,https://f4.bcbits.com/img/a1115252748_7.jpg
72,50.0,"['Jazz', 'Multigenre', 'R&B', 'Soul']",Japan,follows (sunday service edit),Seven Davis Jr.,"01/04/2024, 15:32:14",track,https://f4.bcbits.com/img/a1152872863_7.jpg
73,507.0,['Other'],Poland,Mind 2 Mind,Bliss inc.,"01/04/2024, 15:32:16",album,https://f4.bcbits.com/img/a3705414353_7.jpg
74,109.0,['Pedrodollar'],Japan,L​.​S​.​B,Studio Barnhus,"01/04/2024, 15:32:18",track,https://f4.bcbits.com/img/a3597371801_7.jpg
75,109.0,['Electronic'],Japan,Feel It,Bella Boo,"01/04/2024, 15:32:18",track,https://f4.bcbits.com/img/a4122337339_7.jpg
76,999.0,['Soundtrack'],United States,It's A Revolution Mother Original Motion Picture Soundtrack,Something Weird,"01/04/2024, 15:32:18",album,https://f4.bcbits.com/img/a2962455898_7.jpg
77,999.0,"['Soundtrack', 'Psychedelic', 'Hindustani']",United States,Psychedelic Sex Kicks Original Motion Picture Soundtrack,Something Weird,"01/04/2024, 15:32:18",album,https://f4.bcbits.com/img/a2836719883_7.jpg
78,109.0,"['Copenhagen', 'Emo', 'Eurodance', 'Alternative', 'Hyperpop']",Denmark,[OIL059] Sands of Time,Aperly High,"01/04/2024, 15:32:19",track,https://f4.bcbits.com/img/a3901055845_7.jpg
